pk,name
1558,Abhayapuri
1559,Kalimpong
1560,Kurseong
1561,Shiliguri
1562,Mirik
1563,Jalpaiguri
1564,Alipurduar
1565,Cooch Behar
1566,Birpara
1567,Kolkata
1568,Howrah
1569,Durgapur
1570,Asansol
1571,Siliguri
1572,Bardhaman (Burdwan)
1573,Kharagpur
1574,Medinipur
1575,Murshidabad
1576,Raniganj
1577,Alipurduar
1578,Jalpaiguri
1579,Birbhum
1580,Cooch Behar
1581,Malda
1582,Raiganj
1583,Balurghat
1584,Bankura
1585,Purulia
1586,Krishnanagar
1587,Haldia
1588,Santipur
1589,Raghunathganj
1590,Suri
1591,English Bazar (Malda)
1592,Jaigaon
1593,Jangipur
1594,Kishanganj
1595,Dum Dum
1596,Barasat
1597,Barrackpore
1598,Naihati
1599,Kanchrapara
1600,Kalyani
1601,Ashoknagar Kalyangarh
1602,Bangaon
1603,Habra
1604,Bolpur
1605,Chakdaha
1606,Diamond Harbour
1607,Farakka
1608,Haldibari
1609,Kulti
1610,Khardaha
1611,Raghunathganj
1612,Rishra
1613,Serampore
1614,South Dum Dum
1615,Kamarhati
1616,Bidhannagar
1617,Chandannagar
1618,Hooghly
1619,Chinsurah
1620,Konnagar
1621,Arambagh
1622,Tamluk
1623,Haldia
1624,Tamluk
1625,Midnapore
1626,Jhargram
1627,Ghatal
1628,Contai
1629,Egra
1630,Kanthi
1631,Champadanga
1632,Bhadreswar
1633,Rishra
1634,Dankuni
1635,Uluberia
1636,Kamarhati
1637,Baranagar
1638,Alambazar
1639,Dunlop
1640,Barrackpore
1641,Dumdum
1642,Rajarhat
1643,Birati
1644,New Barrackpore
1645,North Barrackpore
1646,Bidhannagar
1647,Bidhannagar (Salt Lake)
1648,Santoshpur
1649,Rajarhat Gopalpur
1650,Barrackpore
1651,Madhyamgram
1652,Barasat
1653,Kakdwip
1654,Patharpratima
1655,Joynagar
1656,Bishnupur
1657,Sonarpur
1658,Rajpur Sonarpur
1659,Baruipur
1660,Diamond Harbour
1661,Falakata
1662,Mathabhanga
1663,Abhayapuri
1664,Kalimpong
1665,Kurseong
1666,Shiliguri
1667,Mirik
1668,Jalpaiguri
1669,Alipurduar
1670,Cooch Behar
1671,Birpara
1672,Malda
1673,Raiganj
1674,Balurghat
1675,Bankura
1676,Purulia
1677,Krishnanagar
1678,Haldia
1679,Santipur
1680,Raghunathganj
1681,Suri
1682,English Bazar (Malda)
1683,Jaigaon
1684,Jangipur
1685,Kishanganj
1686,Dum Dum
1687,Barasat
1688,Barrackpore
1689,Naihati
1690,Kanchrapara
1691,Kalyani
1692,Ashoknagar Kalyangarh
1693,Bangaon
1694,Habra
1695,Bolpur
1696,Chakdaha
1697,Diamond Harbour
1698,Farakka
1699,Haldibari
1700,Kulti
1701,Khardaha
1702,Raghunathganj
1703,Rishra
1704,Serampore
1705,South Dum Dum
1706,Kamarhati
1707,Bidhannagar
1708,Chandannagar
1709,Hooghly
1710,Chinsurah
1711,Konnagar
1712,Arambagh
1713,Tamluk
1714,Haldia
1715,Tamluk
1716,Midnapore
1717,Jhargram
1718,Ghatal
1719,Contai
1720,Egra
1721,Kanthi
1722,Champadanga
1723,Bhadreswar
1724,Rishra
1725,Dankuni
1726,Uluberia
1727,Kamarhati
1728,Baranagar
1729,Alambazar
1730,Dunlop
1731,Barrackpore
1732,Dumdum
1733,Rajarhat
1734,Birati
1735,New Barrackpore
1736,North Barrackpore
1737,Bidhannagar
1738,Bidhannagar (Salt Lake)
1739,Santoshpur
1740,Rajarhat Gopalpur
1741,Barrackpore
1742,Madhyamgram
1743,Barasat
1744,Kakdwip
1745,Patharpratima
1746,Joynagar
1747,Bishnupur
1748,Sonarpur
1749,Rajpur Sonarpur
1750,Baruipur
1751,Diamond Harbour
1752,Falakata
1753,Mathabhanga
1754,Abhayapuri
1755,Kalimpong
1756,Kurseong
1757,Shiliguri
1758,Mirik
1759,Jalpaiguri
1760,Alipurduar
1761,Cooch Behar
1762,Birpara
